cantor,musica,codigo,clipe,at
Aliados,Sorrindo,97-011-53,VDK,15
Alias,More Than Words Can Say,09-002-07,CDG,G04
Alice,IMA WA MOH DARE MO,97-022-66,VDK,J5
Alice,FUYU NO INAZUMA,97-051-17,VDK,JAP
Alice,Una Notte Speciale,31-055-06,CDG,G05
Alice,There's A New Girl In Town,51-104-13,CDG,G06
ALICE,California NI AKOGARETE,99-914-63,SB,M24
ALICE,X Lovers II feat SHUN,99-899-57,SB,M22
ALICE,X Lovers feat SHUN,99-899-56,SB,M21
ALICE,UTSUKUSHIKI KIZUNA ~ hand in hand,99-851-62,SB,M09
ALICE,SOREZORE NO AKI,99-851-61,SB,M09
ALICE,Sentimental blues,99-851-60,SB,M09
ALICE,HEIBON,99-851-59,SB,M09
ALICE,HATACHI NO KORO,99-851-58,SB,M09
ALICE,HASHITTE OIDE KOIBITO YO,99-851-57,SB,M09
ALICE,GAIROJU WA SHITTE ITA,99-851-56,SB,M09
ALICE,Espionage,99-851-55,SB,M09
ALICE,ASU E NO SANKA,99-851-54,SB,M09
ALICE,ARU HI NO GOGO,99-851-53,SB,M09
ALICE,ARABURU TAMASHII (Soul on burning ice),99-851-52,SB,M09
ALICE,Alice NO HIKOHSEN,99-851-51,SB,M09
ALICE,Medley - SAMAYOERU JIDAI,99-599-56,SB,M14
ALICE,SARABA SEISHUN NO TOKI,99-082-13,SB,L0
ALICE,BURAI,99-082-12,SB,L0
ALICE,KURUTTA KAJITSU,99-082-11,SB,L0
ALICE,SEISHUN JIDAI,99-082-10,SB,L0
ALICE,TOOKU DE KITEKI O KIKI NAGARA,99-082-09,SB,L0
ALICE,KAERAZARU HIBI,99-082-08,SB,L0
ALICE,FUYU NO INAZUMA,99-082-07,SB,L0
ALICE,Champion,99-082-06,SB,L0
ALICE,SHUHSHIFU,99-082-05,SB,L0
ALICE,NAMIDA NO CHIKAI,99-082-04,SB,L0
ALICE,YUME SARISHI MACHIKADO,99-082-03,SB,L0
ALICE,Johnny NO KOMORI UTA,99-082-02,SB,L0
ALICE,IMA WA MOH DARE MO,99-082-01,SB,L0
ALICE,TOOKU DE KITEKI O KIKI NAGARA,98-989-54,PV,C17
Alice,Moving on,98-949-98,PV,C19
ALICE,X Lovers feat SHUN,98-909-80,PV,C21
ALICE,X Lovers II feat SHUN,98-806-32,PV,C23
Alice Cooper,I Never Cry,97-025-26,VDK,INT04A
Alice Cooper,No More Mr. Nice Guy,97-091-44,VDK,C08A
Alice Cooper,School's Out,10-030-06,CDG,G01
Alice Cooper,Is It My Body,11-009-10,CDG,G00
Alice Cooper,How You Gonna See Me Now,14-001-01,CDG,G07
Alice Cooper,Muscle Of Love,32-002-10,CDG,G07
Alice Cooper,I'm Eighteen,67-578-05,CDG,G04
Alice Cooper,It's Me,68-238-11,CDG,G01
Alice Cooper,Only Women Bleed,68-650-02,CDG,G04
Alice Cooper,Under My Wheels,68-684-11,CDG,G01
Alice Cooper,Hey Stoopid,68-843-12,CDG,G01
Alice Cooper,No More Mr. Nice Guy,72-024-07,CDG,G00
Alice Cooper,Poison,72-160-07,CDG,G01
Alice Cooper,Feed My Frankenstein,74-893-09,CDG,G02
Alice Cooper,I'm 18,75-004-09,CDG,G04
Alice Cooper,Welcome To My Nightmare,75-009-01,CDG,G04
Alice Cooper,I Love The Dead,75-009-02,CDG,G04
Alice Cooper,Generation Landslide,75-009-04,CDG,G04
Alice Cooper,Raped And Freezing,75-009-05,CDG,G04
Alice Cooper,Desperado,75-009-06,CDG,G04
Alice Cooper,I Never Cry,75-009-07,CDG,G04
Alice Cooper,Billion Dollar Babies,75-009-08,CDG,G04
Alice Cooper,Some Folks,75-009-10,CDG,G04
Alice Cooper,Be My Lover,75-009-11,CDG,G04
Alice Cooper,Sick Things,75-009-12,CDG,G04
Alice Cooper,Hello Hooray,75-009-13,CDG,G04
Alice Cooper,Ballad Of Dwight Fry,75-009-14,CDG,G04
Alice Deejay,Better Off Alone,23-005-13,CDG,G00
Alice Deejay,I Want You Back In My Life,74-838-12,CDG,G01
Alice In Chains,Got Me Wrong,11-101-27,CDG,G12
Alice In Chains,Nutshell,11-101-28,CDG,G12
Alice In Chains,Man In The Box,43-504-01,CDG,G01
Alice In Chains,Again,68-286-04,CDG,G01
Alice In Chains,Check My Brain,72-285-01,CDG,G04
Alice In Chains,Your Decision,72-289-07,CDG,G05
Alice In Chains,No Excuses,74-877-01,CDG,G01
Alice In Chains,Rooster,74-899-15,CDG,G02
Alice In Chains,Would?,84-129-17,CDG,G01
Alice JUHBAN,NATSU DA NE,98-919-81,PV,C22
Alice Nine,Fantasy,99-872-01,SB,M14
Alice Nine,Number six,99-854-05,SB,M09
Alice Nine,Cosmic World,98-978-19,PV,C11
Alice Nine,Blue Planet,98-978-18,PV,C11
Alice Nine,TSUBASA,98-973-24,PV,C08
Alice Nine,RURI NO AME,98-973-23,PV,C08
Alice Nine,White Prayer,98-972-31,PV,C08
Alice Nine,Jewels,98-967-39,PV,C07
Alice Nine,Number six,98-964-16,PV,C06
Alice Nine,Blue flame,98-949-99,PV,C19
Alice Nine,Stargazer:,98-945-78,PV,C18
Alice Nine,HANA,98-935-30,PV,C16
Alice Nine,YAMI NI CHIRU SAKURA,98-930-64,PV,C15
Alice Nine,the beautiful name,98-930-63,PV,C15
Alice Nine,Rainbows,98-927-12,PV,C14
Alice Nine,Cross game,98-927-11,PV,C14
Alice Nine,Mirror ball,98-923-84,PV,C13
Alice Nine,Eraser - Memoire d'une fleur,98-923-83,PV,C13
Alice Nine,NIJI NO YUKI,98-904-66,PV,C20
Alice Nine,SENKOH,98-900-02,PV,C19
Alice Nine,Heart of gold,98-900-01,PV,C19
Alice Nine,Shining,98-813-52,PV,C24
Alice Nine,Shooting star,98-806-35,PV,C23
Alice Nine,Shadowplay,98-806-34,PV,C23
Alice Nine,Daybreak,98-806-33,PV,C23
AliceinAlice,Jupiter Rider,98-824-73,PV,C26
AliceinAlice & Friends,Space Lovely Tutorial,98-838-71,PV,C29
Alicia Bridges,I Love The Nightlife,68-143-05,CDG,G00
Alicia Keys,No One,97-025-68,VDK,INT04B
Alicia Keys,Fallin',97-048-90,VDK,USA2
Alicia Keys,Girl On Fire,97-192-07,VDK,INT06B
Alicia Keys,If I Ain't Got You,97-195-29,VDK,INT08B
Alicia Keys,Wild Horses,11-101-29,CDG,G12
Alicia Keys,Holy War,15-227-05,CDG,G18
Alicia Keys,Try Sleeping With A Broken Heart,23-118-02,CDG,G04
Alicia Keys,A Woman's Worth,42-009-09,CDG,G00
Alicia Keys,Teenage Love Affair,42-072-09,CDG,G04
Alicia Keys,Piano & I,46-194-05,CDG,G02
Alicia Keys,Loving You,46-194-07,CDG,G02
Alicia Keys,Butterflyz,46-194-08,CDG,G02
Alicia Keys,Karma,46-194-09,CDG,G02
Alicia Keys,Girlfriend,46-194-11,CDG,G02
Alicia Keys,Doesn't Mean Anything,58-912-02,CDG,G04
Alicia Keys,Fallin',68-776-11,CDG,G00
Alicia Keys,If I Was Your Woman,68-864-07,CDG,G01
Alicia Keys,Diary,68-883-04,CDG,G01
Alicia Keys,Karma (Radio Version),68-889-02,CDG,G01
Alicia Keys,If I Ain't Got You,68-902-06,CDG,G01
Alicia Keys,You Don't Know My Name,68-902-08,CDG,G01
Alicia Keys,Unbreakable (Unplugged Version),68-994-06,CDG,G01
Alicia Keys,Unbreakable,71-512-06,CDG,G01
Alicia Keys,A Man's Worth,72-190-09,CDG,G06
Alicia Keys,Like You'll Never See Me Again,72-265-10,CDG,G02
Alicia Keys,Superwoman,72-271-07,CDG,G03
Alicia Keys,Unthinkable (I'm Ready),72-294-06,CDG,G05
Alicia Keys,Girl On Fire,72-323-05,CDG,G10
Alicia Keys,Brand New Me,72-324-08,CDG,G10
Alicia Keys,No One,74-896-13,CDG,G02
Alicia Keys,Wait 'till You See My Smile,74-932-09,CDG,G06
Alicia Keys,How Come You Don't Call Me,84-124-09,CDG,G00
Alicia Keys,Why Do I Feel So Sad,84-149-19,CDG,G00
Alicia Keys,Empire State Of Mind (Part 2),87-066-02,CDG,G05
Alicia Keys & A$AP Rocky,Blended Family,72-372-16,CDG,G18
Alicia Keys & Beyonce,Put It In A Love Song,58-003-01,CDG,G05
Alicia Keys & Jack White,Another Way To Die,72-273-01,CDG,G03
Alicia Keys & Kendrick Lamar,It's On Again,87-117-16,CDG,G13
Alicia Keys & Usher,My Boo,68-889-13,CDG,G01
Alicia Myers,Just Can't Stay Away,11-101-30,CDG,G12
Alicia Villarreal,Te Quedo Grande La Yegua,09-552-07,CDG,G01
Alicia Villarreal,Soy Lo Prohibido,33-172-05,CDG,G04
Alicia Villarreal,Las Cuentas Claras,33-172-10,CDG,G04
Alicia Villarreal,Soy Asi,33-172-12,CDG,G04
Alicia Villarreal,Insensible A Ti,33-173-01,CDG,G04
Alicia Villarreal,No Oh Oh (La Suegra),33-173-03,CDG,G04
Alicia Villarreal,Celosa,33-173-04,CDG,G04
Alicia Villarreal,Besos & Copas,33-173-07,CDG,G04
Alicia Villarreal,Acompaname,33-173-10,CDG,G04
Alicia Villarreal,El Ladrón,44-031-04,CDG,G05
Alicia Villarreal & Cabilo Dorado,Esto Que Siento,33-172-06,CDG,G04
Alicia Villarreal & P.Huina,Sentimientos,13-052-06,CDG,G02
Alien Ant Farm,Smooth Criminal,97-049-66,VDK,USA2
Alien Ant Farm,Movies,42-009-08,CDG,G00
Alien Ant Farm,Smooth Criminal,68-765-06,CDG,G00
Aline Barros,Ressuscita-Me,97-018-09,VDK,20
Aline Barros,Sonda-Me, Usa-Me,97-018-78,VDK,20
Aline Barros,Carpinteiro,97-024-13,VDK,EV4
Aline Barros,Poder Pra Salvar,97-024-29,VDK,EV4
Aline Barros,Vento Do Espírito,97-024-38,VDK,EV4
Aline Barros,Dança Do Pinguim,97-024-50,VDK,EV4
Aline Barros,Homenzinho Torto,97-024-55,VDK,EV4
Aline Barros,Pula-Pula,97-024-65,VDK,EV4
Aline Barros,Rei Meu,97-024-68,VDK,EV4
Aline Barros,Rendido Estou,97-024-69,VDK,EV4
Aline Barros,Santidade,97-024-99,VDK,EV4
Aline Barros,Ao Único,97-029-48,VDK,EV4
Aline Barros,Águas Do Trono,97-029-64,VDK,EV4
Aline Barros,Apaixonado,97-029-67,VDK,EV4
Aline Barros,Consagração,97-056-05,VDK,EV2
Aline Barros,Deus Do Impossível,97-056-06,VDK,EV2
Aline Barros,Fico Feliz,97-056-10,VDK,EV2
Aline Barros,Jesus Cristo Mudou Meu Viver,97-056-15,VDK,EV2
Aline Barros,Jesus Faz Parte,97-056-16,VDK,EV2
Aline Barros,Digno É O Senhor,97-077-71,VDK,EV3
Aline Barros,Renova-Me Senhor,97-078-66,VDK,EV3
Aline Barros,Recomeçar,97-095-27,VDK,13
Aline Barros,Deus Extraordinário,97-154-88,VDK,26
Aline Calixto,Flor Morena,97-028-67,VDK,22
Alinne Rosa,Complicamos Demais,97-156-50,VDK,27
Alisha's Attic,I Am I Feel,72-061-03,CDG,G00
Alison Krauss,Simple Love,09-013-05,CDG,G03
Alison Krauss,Baby Now That I've Found You,51-100-91,CDG,G06
Alison Krauss,Let Me Touch You For Awhile,68-745-01,CDG,G00
Alison Krauss,Two Highways,68-751-13,CDG,G00
Alison Krauss,The Scarlet Tide,68-885-14,CDG,G01
Alison Krauss,Every Time You Say Goodbye,68-911-03,CDG,G01
Alison Krauss,New Fool,68-911-04,CDG,G01
Alison Krauss,Baby Mine,68-911-05,CDG,G01
Alison Krauss,Maybe (Radio Version),68-911-07,CDG,G01
Alison Krauss,Forget About It,68-911-10,CDG,G01
Alison Krauss,New Favorite,70-102-12,CDG,G00
Alison Krauss,Losing You,72-374-14,CDG,G18
Alison Krauss,It Doesn't Matter,74-890-07,CDG,G02
Alison Krauss & James Taylor,Find My Way Back To My Heart,68-911-02,CDG,G01
Alison Krauss & James Taylor,Oh Atlanta,68-911-06,CDG,G01
Alison Krauss & James Taylor,Restless,68-911-12,CDG,G01
Alison Krauss & James Taylor,The Lucky One,68-911-13,CDG,G01
Alison Krauss & James Taylor,Let Me Touch You For A While,68-911-14,CDG,G01
Alison Krauss & James Taylor,How's The World Treating You,68-911-15,CDG,G01
Alison Krauss & Robert Plant,Gone Gone Gone (Done Moved On),09-015-08,CDG,G03
Alison Krauss & Union Station,When You Say Nothing At All,21-010-15,CDG,G00
Alison Krauss & Union Station,My Love Follows You Where You Go,54-206-03,CDG,G09
Alison Krauss & Union Station,If I Didn't Know Any Better,68-982-02,CDG,G01
Alison Krauss & Union Station,When You Say Nothing At All,74-917-10,CDG,G04
Alison Moyet,Invisible,72-057-01,CDG,G00
Alison Moyet,When I Was Your Girl,72-328-11,CDG,G11
Alison Moyet,Is This Love,73-057-13,CDG,G02
Alison Moyet,Weak In The Presence Of Beauty,73-057-14,CDG,G02
Alison Moyet,Love Insurrection,74-814-09,CDG,G01
Alison Moyet,That Old Devil Called Love,74-820-07,CDG,G01
Alison Moyet,All Cried Out,74-820-09,CDG,G01
Alison Moyet,Love Letters,74-820-10,CDG,G01
Alissa & Max Di Carlo,Ya Lo Ves,13-065-11,CDG,G02
Alisson e Ryan,Não Sou Seu Brinquedo,97-013-88,VDK,17
Alistair Griffin,You And Me Tonight,72-216-11,CDG,G01
Alive & Kicking,Tighter Tighter,25-971-10,CDG,G05
Alix,Nos Podemos Escapar,13-003-11,CDG,G02
All,American Rejects,56-303-03,CDG,G00
All About Eve,Martha’S Harbour,74-888-09,CDG,G01
All About She,Higher (Free),72-335-15,CDG,G12
All American Rejects,The Wind Blows,16-907-03,CDG,G09
All American Rejects,I Wanna,16-911-04,CDG,G04
All American Rejects,Someday's Gone,53-206-02,CDG,G09
All American Rejects,Heartbeat Slowing Down,53-207-07,CDG,G09
All American Rejects,Dirty Little Secret,68-934-11,CDG,G01
All American Rejects,Move Along,68-966-05,CDG,G01
All American Rejects,It Ends Tonight,68-995-07,CDG,G01
All American Rejects,Gives You Hell,74-032-03,CDG,G04
All City Steppers,Precious girl,98-806-36,PV,C23
All Off,My Life,98-824-74,PV,C26
All Saints,Pure Shores,38-029-03,CDG,G00
All Saints,Under The Bridge,72-119-15,CDG,G10
All Saints,War Of Nerves,72-127-02,CDG,G04
All Saints,Black Coffee,72-171-16,CDG,G10
All Saints,All Hooked Up,72-173-15,CDG,G10
All Saints,Rock Steady,72-249-05,CDG,G01
All Saints,Chick Fit,72-252-08,CDG,G01
All Saints,I Know Where It's At,74-885-10,CDG,G01
All Saints,One Strike,87-139-12,CDG,G17
All Seeing Eye & Tony Christie,Walk Like A Panther,74-864-02,CDG,G01
All Time Low,Time Bomb,15-211-06,CDG,G18
All Time Low,Damned If I Do Ya (Damned If I Don't),16-909-06,CDG,G04
All Time Low,Backseat Serenade,53-212-04,CDG,G10
All Time Low,Somewhere In Neverland,53-301-05,CDG,G10
All Time Low,If These Sheets Were States,53-302-02,CDG,G10
All Time Low,Irony Of Choking On A Lifesaver,53-305-08,CDG,G11
All Time Low,Kids In The Dark,72-352-12,CDG,G15
All Time Low,Dirty Laundry,72-375-18,CDG,G19
All Time Low,Dear Maria Count Me In,74-931-04,CDG,G06
All-4-One,I Swear,97-046-69,VDK,A1
All-4-One,Beautiful As U,23-023-09,CDG,G00
All-4-One,I Swear,50-201-10,CDG,G00
All-4-One,So Much In Love,50-203-13,CDG,G00
All-4-One,I Can Love You Like That,68-187-02,CDG,G00
All-4-One,I Will Be Right There,68-569-10,CDG,G01
All-American Rejects,Top Of The World,25-912-03,CDG,G05
All-American Rejects,Swing Swing (Radio Version),68-827-01,CDG,G01
All-American Rejects,The Last Song,68-839-07,CDG,G01
All-American Rejects,My Paper Heart,77-203-62,CDG,G07
All-American Rejects,It Ends Tonight,77-403-34,CDG,G06
Allan & Ashcraft,Cornfields,54-203-19,CDG,G08
Allan Gary,From Where I'm Sitting,26-014-14,CDG,G00
Allan Gary,Her Man,32-612-17,CDG,G00
Allan Gary,Man To Man,48-377-03,CDG,G00
Allan Gary,Man Of Me,54-110-04,CDG,G00
Allan Gary,Lovin' You Against My Will,68-614-14,CDG,G00
Allan Gary,The One,68-745-07,CDG,G00
Allan Gary,Tough Little Boys,68-837-02,CDG,G01
Allan Gary,Songs About Rain,68-862-07,CDG,G01
Allan Gary,Nothing On But The Radio,68-897-02,CDG,G01
Allan Gary,Best I Ever Had,68-936-10,CDG,G01
Allen Stone,Sleep,97-192-31,VDK,INT06B
Allies,Calling U,98-919-82,PV,C22
Allies,Weekend,98-909-81,PV,C21
Allison Iraheta,Friday I'll Be Over U,64-331-07,CDG,G07
Allison Moorer,A Soft Place To Fall,65-245-07,CDG,G00
Allison Moorer,Up This High,68-802-02,CDG,G00
Allisons,Are You Sure (Duet Version),86-919-01,CDG,G05
Allisons,Are You Sure (For Solo Singer),86-919-02,CDG,G05
Allman Brothers Band,Melissa,11-010-10,CDG,G00
Allman Brothers Band,Soulshine,11-101-31,CDG,G12
Allman Brothers Band,Stormy Monday,37-023-18,CDG,G00
Allman Brothers Band,Everyday I Have The Blues,48-144-09,CDG,G02
Allman Brothers Band,Midnight Rider,59-005-05,CDG,G00
Allman Brothers Band,Ramblin' Man,68-146-03,CDG,G00
Allman Brothers Band,Whipping Post,68-146-05,CDG,G00
Allman Brothers Band,No One To Run With,68-146-14,CDG,G00
Allman Brothers Band,Crazy Love,68-479-12,CDG,G00
Allman Brothers Band,Please Call Home,68-594-14,CDG,G03
Allman Brothers Band,Ain't Wastin' Time No More,68-922-01,CDG,G01
Allman Brothers Band,Blue Sky,68-922-02,CDG,G01
Allman Brothers Band,Southbound,68-922-04,CDG,G01
Allover,SAKURA baby love,98-819-29,PV,C25
Allure,All Cried Out,53-709-06,CDG,G00
Alma,Chasing Highs,72-378-05,CDG,G19
Alma Cogan,Dreamboat,40-050-10,CDG,G00
Alma Kaminiito,AMATSUBU pearl,98-919-83,PV,C22
Almir Rogério,Motoqueiro,97-015-08,VDK,18
Almir Rogério,Fuscão Preto,97-038-77,VDK,2
Almir Sater,Travessia Do Araguaia,97-029-39,VDK,22
Almir Sater,Um Violeiro Toca,97-043-79,VDK,4
Almir Sater,Peão,97-095-09,VDK,13
Almir Sater,Varandas,97-095-59,VDK,13
Almir Sater,Hora Do Clarão,97-014-25,VDK,17
Aloe Blacc,I Need A Dollar,72-304-08,CDG,G07
Aloe Blacc,Loving You Is Killing Me,72-306-15,CDG,G07
Aloe Blacc,The Man,87-114-14,CDG,G12
Alok & Bruno Martini & Zeeba,Hear Me Now,96-507-80,I00,JUK
ALPHA,Life is once,98-930-66,PV,C15
ALPHA,Going!Going!Gone!,98-930-65,PV,C15
Alpha feat. HALCALI, RYO (from Ketsumeishi),Boy Meat Girl,98-945-79,PV,C18
Alpha Rev,Sing Loud,53-304-06,CDG,G10
Alphabeat,Fascination,72-266-04,CDG,G02
Alphabeat,10,000 Nights,72-268-09,CDG,G02
Alphabeat,Boyfriend,72-270-12,CDG,G03
Alphaville,Forever Young,97-025-77,VDK,INT04B
Alphaville,Big In Japan,97-092-45,VDK,A45
Alphaville,Big In Japan,72-037-04,CDG,G02
Alphaville,Forever Young,68-678-09,CDG,G02
Alphaville,Big In Japan,99-659-61,SB-BGV,SB-USA2
Alsou,Before You Love Me,72-179-10,CDG,G10
Alstro Merry,Alstro Meria,98-919-84,PV,C22
Alt & Lost Civilisation,Tequila,74-865-01,CDG,G01
Alt-J,Every Other Freckle,87-122-07,CDG,G14
Altemar Dutra,Murmura Ao Mar,97-016-10,VDK,18
Altemar Dutra,Sentimental Demais,97-035-40,VDK,1
Altemar Dutra,Estão Voltando As Flores,97-038-72,VDK,2
Altemar Dutra,O Trovador,97-039-26,VDK,2
Altemar Dutra,Brigas,97-040-67,VDK,3
Altemar Dutra,Que Queres Tu De Mim,97-041-30,VDK,3
Altemar Dutra,Balada Triste,97-044-65,VDK,4
Altemar Dutra,Somos Iguais,97-062-77,VDK,5
Altemar Dutra,Meu Velho (Mi Viejo),97-064-22,VDK,6
Altemar Dutra,Maria Helena,97-064-96,VDK,6
Altemar Dutra,Contigo Aprendi,97-066-08,VDK,6
Altemar Dutra,A Pretendida,97-070-45,VDK,9
Altemar Dutra,Bloco Da Solidão,97-070-72,VDK,9
Altemar Dutra,Eu Sonhei Que Tu Estavas Tão Linda,97-071-28,VDK,9
Altemar Dutra,Modinha,97-071-81,VDK,9
Altemar Dutra,Vai Andorinha,97-072-68,VDK,9
Altemar Dutra,Tudo De Mim,97-093-49,VDK,12
Altemar Dutra,Como Desejo Teu Amor,97-160-90,VDK,29
Altemar Dutra,Peleas,33-285-12,CDG,G04
Altemar Dutra e Martha Mendonça,Velha Companheira,97-018-00,VDK,19
Alter Bridge,Open Your Eyes,77-204-23,CDG,G07
Alternative Medicine,Freedom,98-819-30,PV,C25
Althea,KIMI E,98-847-20,PV,C30
ALTIMA,One,98-909-83,PV,C21
ALTIMA,Burst The Gravity,98-909-82,PV,C21
ALTIMA,I'll believe,98-904-67,PV,C20
Aluna George,Attracting Flies,72-327-11,CDG,G11
Aluna George & Popcaan,I'm In Control,72-363-08,CDG,G17
aluto,MIRAI KUHSOH,99-872-02,SB,M14
aluto,UTA UTAI NO Ballad,98-927-14,PV,C14
aluto,MIRAI KUHSOH,98-927-13,PV,C14
Alvaro Chaparro Bermudez,Besame Morenita,13-072-01,CDG,G02
Alvaro Davila,Brujeria,33-267-05,CDG,G04
Álvaro e Daniel,Aqui É O Seu Lugar,97-015-05,VDK,18
Alvaro Tito,Não Chore,97-055-57,VDK,EV1
Alvim and The Chipmunks,Christmas Don't Be Late,97-058-83,VDK,USA3
Alvin Stardust,My Coo-Ca-Coo,72-024-06,CDG,G00
Alvin Stardust,Pretend,74-818-04,CDG,G01
Alvin Stardust,You You You,86-909-14,CDG,G05
Alvin Stardust,Red Dress,86-909-15,CDG,G05
Alvino,KOKORO Film,99-876-70,SB,M15
Alvino,HANA,98-973-25,PV,C08
Alvino,Snow line,98-967-40,PV,C07
Alvino,Close to you,98-939-43,PV,C17
Alvino,KOKORO Film,98-930-67,PV,C15
Aly & AJ,Walking On Sunshine,11-101-32,CDG,G12
Aly & AJ,Rush,77-402-79,CDG,G06
Alyssa Reid & Jump Smokers,Alone Again,72-313-01,CDG,G08
Alyze Elyse & Celinski,Oooh...,77-401-72,CDG,G06
AMA Wars with AMAOH,NAMESUGI love song NATSU,98-806-37,PV,C23
AMACHI MARI,MIZU IRO NO KOI,99-184-15,SB,L0
AMACHI MARI,KOI SURU NATSU NO HI,99-184-14,SB,L0
AMACHI MARI,HITORI JANAI NO,99-184-13,SB,L0
AMACHI SHIGERU,OTOKO NO Pocket,99-175-08,SB,L0
AMACHI SHIGERU,SHOHWA Blues,99-175-07,SB,L0
Amado Batista,Amor Meu Louco Amor,97-016-83,VDK,19
Amado Batista,Não Quero Falar Com Ela,97-019-21,VDK,20
Amado Batista,Muitos Compromissos,97-028-11,VDK,22
Amado Batista,Princesa,97-038-56,VDK,2
Amado Batista,24 Horas No Ar,97-040-60,VDK,3
Amado Batista,Como Na Primeira Vez,97-042-30,VDK,3
Amado Batista,O Pobretão,97-043-27,VDK,4
Amado Batista,Secretária (Assédio Sexual),97-063-53,VDK,5
Amado Batista,O Fruto Do Nosso Amor (Amor Perfeito),97-066-25,VDK,6
Amado Batista,Meu Ex-Amor,97-069-41,VDK,8
Amado Batista,Reclamando Sua Ausência,97-069-75,VDK,8
Amado Batista,Eu Sou Seu Fã,97-071-29,VDK,9
Amado Batista,Amantes,97-074-96,VDK,11
Amado Batista,Desisto,97-075-83,VDK,11
Amado Batista,O Príncipe,97-076-56,VDK,11
Amado Batista,Vá Embora,97-093-55,VDK,12
Amado Batista,Chuva De Vento,97-094-17,VDK,13
Amado Batista,Amigo Forte,97-096-04,VDK,14
Amado Batista,Carta Sobre A Mesa,97-096-32,VDK,14
Amado Batista,Eu Quero É Namorar,97-096-77,VDK,14
Amado Batista,Seresteiro Das Noites,97-098-80,VDK,14
Amado Batista,Quem É Você,97-152-68,VDK,24
Amado Batista,Império Dos Sentidos,97-154-12,VDK,25
Amado Batista,Agora Ou Nunca Mais,97-155-62,VDK,26
Amado Batista,Travesseiro Azul,97-156-33,VDK,26
Amado Batista,O Negócio Da China,97-161-41,VDK,30
Amado Batista,A Única,96-001-21,N00,JUK
Amado Batista,Agora Ou Nunca Mais,96-001-22,N00,JUK
Amado Batista,Ah! Se Eu Pudesse,96-001-23,N00,JUK
Amado Batista,Alucinação,96-001-24,N00,JUK
Amado Batista,Amar Amar,96-001-25,N00,JUK
Amado Batista,Anjo Bom,96-001-26,N00,JUK
Amado Batista,Aonde Esta Você,96-001-27,N00,JUK
Amado Batista,Casal De Namorados,96-001-28,N00,JUK
Amado Batista,Chance,96-001-29,N00,JUK
Amado Batista,Deusa Nua,96-001-30,N00,JUK
Amado Batista,Estou Só,96-001-33,N00,JUK
Amado Batista,Eu Quero É Namorar,96-001-34,N00,JUK
Amado Batista,Eu Sou Seu Fã,96-001-35,N00,JUK
Amado Batista,Folha Seca,96-001-36,N00,JUK
Amado Batista,Horas No Ar,96-001-37,N00,JUK
Amado Batista,Menininha Meu Amor,96-001-38,N00,JUK
Amado Batista,Meu Doce Amor,96-001-39,N00,JUK
Amado Batista,Meu Ex-Amor,96-001-40,N00,JUK
Amado Batista,Monotomia,96-001-41,N00,JUK
Amado Batista,Não Quero Falar Com Ela,96-001-42,N00,JUK
Amado Batista,O Boêmio,96-001-43,N00,JUK
Amado Batista,O Julgamento,96-001-44,N00,JUK
Amado Batista,O Pobretão,96-001-45,N00,JUK
Amado Batista,Pensando Em Você,96-001-46,N00,JUK
Amado Batista,Princesa,96-001-47,N00,JUK
Amado Batista,Reclamando Sua Ausência,96-001-48,N00,JUK
Amado Batista,Seguindo A Multidão,96-001-49,N00,JUK
Amado Batista,Sei,96-001-50,N00,JUK
Amado Batista,Serenata,96-001-51,N00,JUK
Amado Batista,Seresteiro Das Noites,96-001-52,N00,JUK
Amado Batista,Solidao Sem Fim,96-001-53,N00,JUK
Amado Batista,Tum Tum De Saudade,96-001-54,N00,JUK
Amado Batista,Vem Morena,96-001-55,N00,JUK
Amado Batista,Vida Cor De Rosa,96-001-56,N00,JUK
Amado Batista,Carta Sobre A Mesa,96-001-57,N00,JUK
Amado Batista,Desisto,96-001-58,N00,JUK
AMAGATA NAOMI,Can't,99-321-16,SB,L2
Amaia Montero,Paris,13-070-09,CDG,G02
Amaia Montero,4 Segundos,33-463-10,CDG,G04
Amalia Gre,Amami Per Sempre (Duo),88-046-19,CDG,G08
Amalia Mendoza,Amarga Navidad,45-064-01,CDG,G04
AMAMIYA SORA,Absolute Blue,98-847-21,PV,C30
AMAMIYA SORA,Skyreach,98-838-72,PV,C29
AMAMIYA SORA,Velvet Rays,98-833-22,PV,C28
AMAMIYA SORA,TSUKI AKARI,98-824-75,PV,C26
Amanda,Everybody Doesn't,16-108-04,CDG,G09
Amanda Marshall,Birmingham,48-178-12,CDG,G00
Amanda Perez,Never,16-310-09,CDG,G09
Amanda Perez,I Pray,77-203-00,CDG,G07
Amanda Wilkinson,Gone From Love Too Long,68-857-09,CDG,G01
Amane Kaoru,TAIYOH NO UTA,97-182-79,VDK,J6
AMANE KAORU,TAIYOH NO UTA,99-911-30,SB,M08
AMANE KAORU,Stay with me,99-869-86,SB,M13
AMANE KAORU,TAIYOH NO UTA,98-959-38,PV,C05
AMANO HIRONARI,KIBOHGAOKA,98-960-53,PV,C05
AMANO HIRONARI,A day in the life,98-960-52,PV,C05
AMANO TSUKIKO,FUHSEN,99-863-09,SB,M10
AMANO TSUKIKO,Sniper,99-860-04,SB,M09
AMANO TSUKIKO,Chaos,98-974-60,PV,C09
AMANO TSUKIKO,FUKURO,98-973-26,PV,C08
